baryon_density,pressurec2,energy_densityc2
5.13415092e14,5.481140160596279e13,5.4342721526e14
5.1473296600000006e14,5.531550255874385e13,5.4496336784999994e14
5.1605067399999994e14,5.582245566868906e13,5.465009466e14
5.17368548e14,5.633226093579842e13,5.4803959497000006e14
5.18686256e14,5.684493618605421e13,5.4957966950000006e14
5.2000413000000006e14,5.736046359347414e13,5.5112117019e14
5.2132200399999994e14,5.78788609840405e13,5.526637405e14
5.22639712e14,5.840012835775329e13,5.5420791523999994e14
5.23957586e14,5.892424788863021e13,5.557531596e14
5.2527546e14,5.945123740265358e13,5.5729983011999994e14
5.2659316799999994e14,5.998109689982337e13,5.5884774853e14
5.27911042e14,6.051384420612184e13,5.603970931e14
5.2922875e14,6.104944366958448e13,5.6194768556e14
5.30546624e14,6.158791311619354e13,5.6349970418e14
5.3186449800000006e14,6.212925254594902e13,5.6505297069e14
5.33182206e14,6.2673479784833195e13,5.6660766336e14
5.3450008e14,6.322057700686381e13,5.6816378219e14
5.35817954e14,6.377054421204084e13,5.6972114891e14
5.3713566200000006e14,6.432339922634658e13,5.7127976352e14
5.3845353599999994e14,6.487912422379874e13,5.7283980429e14
5.39771244e14,6.54377370303796e13,5.7440127122e14
5.41089118e14,6.599921982010688e13,5.7596416431e14
5.4240699200000006e14,6.656359041896287e13,5.7752830529e14
5.4372469999999994e14,6.713083100096528e13,5.7909387243e14
5.45042574e14,6.77009593920964e13,5.8066086573e14
5.46360448e14,6.827395776637393e13,5.8222910692e14
5.47678156e14,6.8849843949780164e13,5.8379877427e14
5.4899602999999994e14,6.94286179423151e13,5.8536986778e14
5.50313738e14,7.001027974397875e13,5.8694238745e14
5.51631612e14,7.059481152878881e13,5.8851633328e14
5.52949486e14,7.118223112272758e13,5.90091527e14
5.5426719400000006e14,7.177253852579505e13,5.9166832515e14
5.55585068e14,7.236571591200894e13,5.9324637119e14
5.56902942e14,7.296179893333381e13,5.9482584339e14
5.5822065e14,7.35607519378051e13,5.9640674175e14
5.5953852400000006e14,7.41625927514051e13,5.9798906627e14
5.6085623199999994e14,7.476730354815152e13,5.9957281695e14
5.62174106e14,7.53749199800089e13,6.0115799379e14
5.6349198e14,7.598540639501272e13,6.0274477506e14
5.64809688e14,7.659878061914525e13,6.0433280422e14
5.66127562e14,7.721504265240647e13,6.0592225954e14
5.67445436e14,7.783419249479639e13,6.0751314102e14
5.68763144e14,7.845621232033273e13,6.0910544866e14
5.70081018e14,7.908111995499778e13,6.1069918246e14
5.71398726e14,7.970891539879155e13,6.1229452069e14
5.727166e14,8.0339598651714e13,6.1389128508e14
5.74034474e14,8.097315188778288e13,6.1548929736e14
5.75352182e14,8.160959293298045e13,6.1708891407e14
5.76670056e14,8.224890396132444e13,6.1868995694e14
5.7798793e14,8.289110279879716e13,6.2029260424e14
5.79305638e14,8.353618944539855e13,6.2189649943e14
5.80623512e14,8.418416390112866e13,6.2350199905e14
5.8194122e14,8.48349905140229e13,6.2510892483e14
5.83259094e14,8.548872276202814e13,6.2671745504e14
5.84576968e14,8.614530716719752e13,6.2832741141e14
5.85894676e14,8.680479720747786e13,6.2993879394e14
5.8721255e14,8.746713940492238e13,6.3155160263e14
5.88530424e14,8.813236941149558e13,6.3316601575e14
5.89848132e14,8.880046940121522e13,6.3478185503e14
5.91166006e14,8.947145720006355e13,6.3639912047e14
5.92483714e14,9.01453149820583e13,6.3801799034e14
5.93801588e14,9.082202492121722e13,6.3963846464e14
5.95119462e14,9.150162266950481e13,6.4126018683e14
5.9643717e14,9.218409040093884e13,6.4288369172e14
5.97755044e14,9.286942811551931e13,6.445084445e14
5.99072918e14,9.355763581324619e13,6.4613497998e14
6.00390626e14,9.42487134941195e13,6.4776276335e14
6.017085e14,9.494266115813922e13,6.4939215115e14
6.03026208e14,9.56394609793231e13,6.5102314338e14
6.04344082e14,9.633914860963569e13,6.5265574004e14
6.05661956e14,9.70416883971124e13,6.5428976286e14
6.06979664e14,9.774708034175328e13,6.5592521184e14
6.08297538e14,9.84553422695406e13,6.5756226525e14
6.09615412e14,9.916645635449205e13,6.5920092309e14
6.1093312e14,9.988044042258992e13,6.6084100709e14
6.12250994e14,1.0059729447383423e14,6.6248269552e14
6.13568702e14,1.013169828562604e14,6.6412598838e14
6.14886576e14,1.02039541221833e14,6.657707074e14
6.1620445e14,1.0276495174456975e14,6.6741720912e14
6.17522158e14,1.0349319659848838e14,6.6906495873e14
6.18840032e14,1.0422431143555344e14,6.7071449104e14
6.20157906e14,1.0495827842978262e14,6.7236544951e14
6.21475614e14,1.0569507975519369e14,6.7401801241e14
6.22793488e14,1.0643475106375119e14,6.7567217974e14
6.24111196e14,1.0717725670349056e14,6.773279515e14
6.2542907e14,1.079225966744118e14,6.7898514942e14
6.26746944e14,1.0867078880249719e14,6.8064413004e14
6.28064652e14,1.0942183308774672e14,6.8230453682e14
6.29382526e14,1.1017569387819588e14,6.8396654803e14
6.307004e14,1.1093240682580914e14,6.8563016367e14
6.32018108e14,1.116919719305866e14,6.8729520547e14
6.33335982e14,1.1245435354056361e14,6.8896202997e14
6.3465369e14,1.1321956948172252e14,6.906304589e14
6.35971564e14,1.139876197540633e14,6.9230031399e14
6.37289438e14,1.1475850435758595e14,6.9397195178e14
6.38607146e14,1.1553222329229047e14,6.9564501573e14
6.3992502e14,1.1630875873219458e14,6.9731968411e14
6.41242894e14,1.170881285032806e14,6.9899613519e14
6.42560602e14,1.1787031477956617e14,7.0067401243e14
6.43878476e14,1.1865533538703366e14,7.0235367237e14
6.45196184e14,1.194431724997007e14,7.0403475847e14
6.46514058e14,1.2023382611756736e14,7.05717449e14
6.47831932e14,1.2102729624063362e14,7.0740192223e14
6.4914964e14,1.2182358286889945e14,7.0908799989e14
6.50467514e14,1.2262268600236494e14,7.1077550371e14
6.51785388e14,1.234245878150477e14,7.1246479023e14
6.53103096e14,1.2422932395891233e14,7.1415568118e14
6.5442097e14,1.250368587819943e14,7.1584817656e14
6.55738678e14,1.2584719228429361e14,7.1754227637e14
6.57056552e14,1.2666034229179248e14,7.1923798061e14
6.58374426e14,1.2747629097850869e14,7.2093546755e14
6.59692134e14,1.282950383444422e14,7.2263438065e14
6.61010008e14,1.2911658438959305e14,7.2433507645e14
6.62327882e14,1.2994092911396122e14,7.2603737668e14
6.6364559e14,1.3076807251754672e14,7.2774145961e14
6.64963464e14,1.3159801460034953e14,7.294469687e14
6.66281172e14,1.3243073753638739e14,7.3115426049e14
6.67599046e14,1.3326625915164255e14,7.3286315671e14
6.6891692e14,1.341045616201328e14,7.3457365736e14
6.70234628e14,1.3494566276784031e14,7.3628576244e14
6.71552502e14,1.3578952694280064e14,7.3799965022e14
6.72870376e14,1.3663618979697827e14,7.3971514243e14
6.74188084e14,1.3748563350439097e14,7.4143241734e14
6.75505958e14,1.3833785806503867e14,7.4315129668e14
6.76823832e14,1.3919284565293917e14,7.4487178045e14
6.7814154e14,1.400506140940747e14,7.4659386865e14
6.79459414e14,1.409111633884453e14,7.4831773955e14
6.80777122e14,1.4177447571006866e14,7.5004321488e14
6.82094996e14,1.4264055105894478e14,7.5177047291e14
6.8341287e14,1.4350940726105597e14,7.5349933537e14
6.84730578e14,1.443810086644376e14,7.5522980226e14
6.86048452e14,1.452553909210543e14,7.5696205185e14
6.87366326e14,1.4613251837894153e14,7.5869590587e14
6.88684034e14,1.470124088640815e14,7.6043154259e14
6.90001908e14,1.4789506237647422e14,7.6216878374e14
6.91319616e14,1.4878046109013747e14,7.6390780759e14
6.9263749e14,1.4966862283105347e14,7.6564843587e14
6.93955364e14,1.5055952977323997e14,7.6739084685e14
6.95273072e14,1.5145318191669697e14,7.6913486226e14
6.96590946e14,1.5234957926142444e14,7.708804821e14
6.9790882e14,1.5324872180742244e14,7.7262806291e14
6.99226528e14,1.5415060955469088e14,7.7437706988e14
7.00544402e14,1.5505524250322984e14,7.7612803782e14
7.0186211e14,1.5596260282705703e14,7.7788043192e14
7.03179984e14,1.5687270835215472e14,7.7963478699e14
7.04497858e14,1.577855234265583e14,7.8139074649e14
7.05815566e14,1.587011015282147e14,7.8314831042e14
7.0713344e14,1.5961938917917703e14,7.8490783532e14
7.08451314e14,1.605404042054276e14,7.8666878638e14
7.09769022e14,1.6146414660696634e14,7.8843169841e14
7.11086896e14,1.6239061638379334e14,7.9019621487e14
7.12404604e14,1.6331979570992625e14,7.9196233576e14
7.13722478e14,1.6425170241134738e14,7.9373041762e14
7.15040352e14,1.6518633648805675e14,7.9550010391e14
7.1635806e14,1.6612366228808975e14,7.972715729e14
7.17675934e14,1.67063715463411e14,7.9904464632e14
7.18993808e14,1.680064781880382e14,8.0081950244e14
7.20311516e14,1.6895193263598903e14,8.0259614126e14
7.2162939e14,1.699001144592281e14,8.0437438451e14
7.22947098e14,1.708509880057908e14,8.0615458873e14
7.24264972e14,1.7180455327567722e14,8.0793639738e14
7.25582846e14,1.7276082809486956e14,8.0971981046e14
7.26900554e14,1.737198124633678e14,8.1150518451e14
7.28218428e14,1.746814707292075e14,8.1329216299e14
7.29536302e14,1.756458385443531e14,8.1508092417e14
7.3085401e14,1.766128802568401e14,8.1687146805e14
7.32171884e14,1.7758261369265075e14,8.1866361636e14
7.33489592e14,1.785550210258028e14,8.2045772564e14
7.34807466e14,1.7953010225629625e14,8.2225343935e14
7.3612534e14,1.805078573841311e14,8.2405093576e14
7.37443048e14,1.814884646691301e14,8.2585021487e14
7.38760922e14,1.8247156759164772e14,8.2765127668e14
7.40078796e14,1.8345734441150672e14,8.2945394292e14
7.41396504e14,1.844457951287071e14,8.3125857013e14
7.42714378e14,1.8543709800307166e14,8.3306480177e14
7.44032086e14,1.864308965149548e14,8.3487281611e14
7.4534996e14,1.8742736892417938e14,8.3668261315e14
7.46667834e14,1.884265152307453e14,8.3849419289e14
